timestamp,x,y,z,rx,ry,rz
1784708136537,-51.7238274,28.75877,69.2192383,5.85390663,58.5530548,92.5912247
1784708136581,-52.47155,28.5322323,68.6243744,6.13727427,58.6204147,92.92173
1784708136625,-53.0531387,28.5333195,68.0018234,6.16820812,58.5969658,92.9948578
1784708136668,-53.5948181,28.7860184,67.5952225,6.45680857,58.5626335,93.2925949
1784708136712,-53.8658676,29.1570034,67.2034607,6.57632589,58.6020927,93.4418335
1784708136756,-53.9230919,29.424633,66.8181839,6.50327587,58.7726707,93.4384384
1784708136800,-53.9129372,29.6082649,66.5072708,6.67076302,58.8223915,93.6239014
1784708136844,-53.7956657,29.8065815,66.1389084,6.91779661,58.9073677,93.832016
1784708136888,-53.7273254,30.2823792,65.9187546,7.30370378,58.8572159,94.0714188
1784708136932,-53.7273254,30.2823792,65.9187546,7.30370378,58.8572159,94.0714188
1784708136981,-53.2415695,31.8165455,65.2100983,7.256001,59.4335747,93.9195328
1784708137025,-53.2415695,31.8165455,65.2100983,7.256001,59.4335747,93.9195328
1784708137074,-53.2415695,31.8165455,65.2100983,7.256001,59.4335747,93.9195328
1784708137124,-53.2415695,31.8165455,65.2100983,7.256001,59.4335747,93.9195328
1784708137173,-50.9285927,35.4399071,66.4652939,8.56545544,59.706234,95.3454971
1784708137217,-50.2334976,35.8231697,66.7150497,8.5879097,59.9345665,95.4079056
1784708137261,-49.4699097,35.8756828,67.0554123,8.54058743,59.9924049,95.3905716
1784708137305,-48.569519,35.9158325,67.4421005,8.54673767,59.9725113,95.4475479
1784708137349,-48.569519,35.9158325,67.4421005,8.54673767,59.9725113,95.4475479
1784708137398,-46.7341499,35.7923965,67.835556,8.80016804,60.0612679,95.5477829
1784708137442,-45.8533401,35.710701,67.9361267,8.49965477,60.3202362,95.1837463
1784708137486,-45.8533401,35.710701,67.9361267,8.49965477,60.3202362,95.1837463
1784708137536,-43.710247,35.6833649,68.4223862,7.67100668,60.2179031,94.3331604
1784708137580,-43.710247,35.6833649,68.4223862,7.67100668,60.2179031,94.3331604
1784708137630,-41.6892548,35.8764343,69.2971497,7.87014914,59.9475632,94.3929596
1784708137674,-41.6892548,35.8764343,69.2971497,7.87014914,59.9475632,94.3929596
1784708137723,-41.6892548,35.8764343,69.2971497,7.87014914,59.9475632,94.3929596
1784708137772,-38.5920143,35.3934364,70.4770126,6.88289022,60.5768776,93.2139435
1784708137816,-37.1428223,34.8794098,69.6466217,6.8927536,60.9098663,92.9997635
1784708137860,-36.104248,34.8574905,69.8979111,6.74149942,60.9094963,92.8212357
1784708137904,-35.0605125,34.7098579,70.1240997,6.70715046,60.926136,92.80867
1784708137948,-34.1302299,34.7673912,70.5187378,6.75064993,60.8118057,92.8021545
1784708137992,-33.2999001,34.9367485,70.8833847,6.83720016,60.7180939,92.7601395
1784708138036,-32.5620804,35.449604,71.3925858,6.85306263,60.5836372,92.6082458
1784708138080,-31.81814,35.8484573,71.9258118,6.81173658,60.5874977,92.4891205
1784708138123,-31.0412025,36.2060738,72.4830017,6.87524033,60.5346069,92.494957
1784708138167,-30.3266277,36.4916306,73.0159683,7.18112469,60.5075493,92.6817169
1784708138211,-29.7831802,36.790287,73.4747467,7.55755043,60.4591217,92.8739395
1784708138255,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138298,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138347,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138396,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138445,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138494,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138543,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138592,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138641,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138690,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138739,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138788,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138837,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138886,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138935,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708138984,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708139034,-29.3402004,37.1879005,73.9859238,7.71435213,60.3751297,92.8815384
1784708139083,-19.1151237,38.1577492,76.0535965,6.77137327,60.2800102,91.1638031
1784708139126,-18.7049484,37.0923309,75.5098419,6.52677488,60.3882866,90.9367828
1784708139170,-18.2634964,35.8779602,75.0684586,6.41291094,60.4827843,90.8255081
1784708139214,-17.7892647,34.6253662,74.6748962,6.38909578,60.4996109,90.7719879
1784708139257,-17.3167286,33.2968102,74.2912369,6.44053268,60.5722122,90.8533249
1784708139301,-17.0530586,31.8850117,73.9444046,6.75931025,60.6572456,91.098175
1784708139346,-16.9402084,30.3983707,73.7024918,6.85511875,60.6970139,91.1802902
1784708139392,-16.9417305,29.164484,74.6966782,6.15687418,60.3495407,90.8093567
1784708139437,-16.5425186,27.120924,72.7284393,6.23121738,60.9076805,90.794548
1784708139482,-16.5849724,25.5160408,72.6134949,6.54631376,60.8656273,91.0738144
1784708139527,-16.6980648,23.9909286,72.6221237,6.92071676,60.777153,91.3971176
1784708139572,-16.8735428,22.5924301,72.674881,7.22027016,60.7380714,91.5946579
1784708139616,-17.0742512,21.2332516,72.8347473,7.33908844,60.6869469,91.5950775
1784708139661,-17.0865879,19.831501,73.054245,7.26945305,60.6683426,91.4156647
1784708139706,-17.0927277,18.521862,74.8519745,7.92475939,60.1454697,91.4257889
1784708139752,-17.0927277,18.521862,74.8519745,7.92475939,60.1454697,91.4257889
1784708139802,-17.0927277,18.521862,74.8519745,7.92475939,60.1454697,91.4257889
1784708139852,-17.0927277,18.521862,74.8519745,7.92475939,60.1454697,91.4257889
1784708139901,-17.0927277,18.521862,74.8519745,7.92475939,60.1454697,91.4257889
1784708139951,-17.0927277,18.521862,74.8519745,7.92475939,60.1454697,91.4257889
1784708140001,-9.7616663,9.2028923,75.3345871,8.22172832,60.2299614,91.5330124
1784708140048,-9.06621647,8.36505795,75.9428406,8.16726971,60.1765404,91.4353333
1784708140093,-8.4648428,7.68490362,76.5615082,8.06148624,60.1429176,91.2346344
1784708140138,-7.91499758,7.11964083,77.3259201,7.99277115,60.0589905,91.031662
1784708140183,-7.37449265,6.75297832,78.1642151,7.89452171,59.9564819,90.8267441
1784708140228,-6.81683588,6.53828239,79.1758728,7.88792706,59.814846,90.8051834
1784708140273,-6.35830545,6.4050889,80.0650024,8.05658722,59.7056389,91.0059052
1784708140318,-6.16278267,6.25760603,81.066391,8.25852013,59.5771027,91.2204208
1784708140363,-6.21249342,6.23151875,81.9937744,8.43587208,59.4323959,91.405098
1784708140409,-6.52850437,6.32593822,82.9114838,8.71103573,59.3148727,91.6825943
1784708140454,-7.18053722,6.44802904,83.7117233,8.89451599,59.2725601,91.8978653
1784708140499,-8.0715313,6.43873882,84.4175262,9.00328541,59.2817535,91.9444733
1784708140544,-9.05215073,6.35461617,84.9709778,8.96339989,59.2514801,91.8936615
1784708140593,-10.1143999,6.36385202,86.4322815,9.32324791,58.9478607,92.153717
1784708140637,-10.8815813,6.31907129,86.7051544,9.39204407,58.9495354,92.3384094
1784708140681,-11.6505709,6.13402224,86.9005203,9.48837662,58.9924469,92.5378113
1784708140725,-12.4298115,5.78785229,86.9379044,9.53562641,59.0604973,92.6399765
1784708140769,-13.1791992,5.29916191,86.8860168,9.57261372,59.1071854,92.6988297
1784708140813,-13.8626528,4.7708869,86.8044739,9.5906992,59.1246758,92.6974182
1784708140857,-14.5182543,4.27577162,86.6007919,9.60866261,59.1577682,92.6971207
1784708140901,-15.1332779,3.83790684,86.4291382,9.5192709,59.1839104,92.6823044
1784708140945,-15.6213713,3.43770957,86.190506,9.3551712,59.2271271,92.6393051
1784708140989,-16.0280437,3.03002667,85.9745331,9.20143604,59.2884331,92.5719833
1784708141033,-16.420042,2.65924239,85.7364273,9.05877018,59.303051,92.4318924
1784708141078,-16.7833405,2.3827002,85.6163483,8.84279156,59.2859802,92.1941452
1784708141122,-17.1549797,2.23778248,85.3949738,8.72783279,59.3000717,92.1243134
1784708141166,-17.6343803,2.31025815,85.354393,8.52908802,59.2944374,91.9746323
1784708141210,-18.1420135,2.31699347,85.3443604,8.43621254,59.3491974,91.927002
1784708141255,-18.5826912,2.5083282,85.4605408,8.32400513,59.30299,91.832077
1784708141299,-18.9529667,2.81552482,85.6168823,8.31397915,59.2347374,91.7904739
1784708141343,-20.433054,3.51152086,91.1978607,4.86775541,57.9101448,91.9693222
1784708141388,-20.6796741,3.97058868,90.4624252,5.33219624,58.1082268,92.071434
1784708141434,-20.8628941,4.36728191,88.6699371,5.8618474,58.6774254,91.9662781
1784708141479,-21.5541229,4.77812576,89.1095734,4.46262264,58.7006721,91.7302704
1784708141524,-21.536171,4.97572136,87.4585876,5.04778099,59.1701889,91.4648361
1784708141569,-21.6860657,5.27697372,86.9485779,4.90097046,59.4160233,91.3581924
1784708141614,-21.8681507,5.44706964,86.5782547,4.37311983,59.6421242,91.2377777
1784708141659,-22.0936165,5.55449629,86.2718124,3.94322038,59.8270226,91.1246338
1784708141704,-22.3049755,5.59811878,85.9171524,3.96800995,59.9919891,90.889679
1784708141749,-22.635107,5.78767109,86.369278,3.18329859,59.9240608,90.6462326
1784708141795,-22.4579678,5.88570881,85.4799271,3.79832077,60.2691803,90.3191833
1784708141840,-22.63867,6.05940533,86.626709,3.4449091,60.1055107,90.2555771
1784708141885,-22.701498,5.95321321,87.9834061,3.09740901,59.9103317,90.2461166
1784708141930,-22.4939823,5.7266531,88.2687683,3.72584748,59.794796,90.3247681
1784708141975,-22.8363609,5.65924168,89.5585098,7.45087671,59.4226151,91.138298
1784708142019,-22.9141941,5.84144545,90.5024414,3.24462843,59.3766823,90.3965225
1784708142064,-23.076889,5.80712223,91.3435974,3.07291126,59.2273979,90.3438034
1784708142109,-22.7281818,5.56041622,89.803421,6.50879717,59.5886574,90.5004959
1784708142154,-23.2573185,5.74516726,91.6338959,3.08104634,59.2839432,90.2990341
1784708142199,-23.316061,5.79636621,91.1442261,3.38025665,59.511055,90.176033
1784708142244,-23.6686344,5.83661699,91.6649017,6.74669218,59.4191208,90.7277908
1784708142289,-24.0693226,5.97295856,92.4935684,6.85765362,59.347393,90.8643875
1784708142334,-23.8700333,6.2459054,91.1249542,3.35677481,59.8453598,90.0360336
1784708142379,-24.1602268,6.86641073,91.6059952,3.0339787,59.7932625,89.8135986
1784708142424,-24.5916042,7.77680779,93.2407837,2.49559188,59.5869064,89.7992249
1784708142469,-24.6349678,8.53466702,93.8251877,3.02234411,59.5752449,89.9480896
1784708142513,-24.6573067,9.29807758,94.1388855,3.77701044,59.6004372,90.1107101
1784708142558,-25.0902348,10.2722015,95.6440048,3.42680669,59.4106064,90.2419357
1784708142603,-25.1257496,10.9933624,95.6227493,3.87137055,59.6102257,90.0317078
1784708142647,-24.997118,11.505579,95.419899,4.83441639,59.8226471,89.8365936
1784708142692,-24.4518604,11.7267618,94.2929001,6.35365391,60.2210999,89.6720581
1784708142737,-24.4070015,12.1562166,95.3953934,6.68537474,60.0368614,89.8556442
1784708142781,-26.2046947,13.368824,103.368729,7.66741562,57.9428978,91.3742599
1784708142825,-25.9433556,13.688592,103.846313,7.637712,57.926445,91.3205185
1784708142868,-25.7269802,14.0705252,104.21431,7.6290164,57.903595,91.2278976
1784708142912,-25.5216751,14.6153927,104.167702,7.70780706,58.031601,91.2490463
1784708142955,-25.3451767,15.3553686,104.956886,7.41246748,58.0122108,90.9853745
1784708142999,-25.1256638,16.0774136,105.901001,7.26810741,57.8904915,90.8483047
1784708143042,-24.8896751,16.7952747,106.889091,7.35210848,57.6768341,90.7623825
1784708143085,-24.6335258,17.6530819,107.669662,7.20031929,57.5421677,90.751297
1784708143129,-24.4280643,18.8366756,108.686707,7.1802702,57.3654404,90.727066
1784708143172,-24.2844563,20.2273178,109.775261,7.22643948,57.2468147,90.7983932
1784708143216,-24.3531227,21.6015129,110.931305,7.34549761,57.1700516,90.8992615
1784708143260,-24.5890312,22.8249207,112.037704,7.31149054,57.0820961,90.7906418
1784708143303,-24.7560101,23.8671761,113.167915,7.2307744,56.9850922,90.6586304
1784708143346,-24.8137684,24.6839046,114.293205,7.26810741,56.9106331,90.6890945
1784708143390,-24.8552151,25.4932365,115.340157,7.45782661,56.7939873,90.8418579
1784708143433,-24.8174458,26.3035793,116.470306,7.59722948,56.7338486,91.0163422
1784708143477,-24.8012905,27.0297623,117.511513,7.87921333,56.6368675,91.2977371
1784708143520,-24.9254379,27.7313442,118.440254,8.0135107,56.5798035,91.3987808
1784708143563,-25.0192089,28.4147072,119.424187,7.96582603,56.488163,91.2961197
1784708143606,-24.9986324,29.1023903,120.419273,7.8889842,56.3801613,91.2152634
1784708143650,-24.8417492,29.7872925,121.295761,7.7578783,56.2920952,91.1436234
1784708143694,-24.6488247,30.4619598,122.205032,7.70109749,56.2113304,91.1470413
1784708143737,-24.5912724,31.0858784,122.972534,7.7872076,56.1276627,91.1647415
1784708143780,-24.6148415,31.6441135,123.773956,7.52838659,56.0885086,90.9327316
1784708143824,-24.5545979,32.0606689,124.419975,7.24815798,56.0535774,90.7016296
1784708143867,-24.4371815,32.4845505,125.11393,7.1432209,55.9753265,90.6486206
1784708143910,-24.2957745,32.8965492,125.750603,7.07772589,55.9016075,90.6392593
1784708143954,-24.2923908,33.3625336,126.365021,7.19886255,55.8296928,90.7617416
1784708143997,-24.4962196,33.8698502,126.846085,7.31145191,55.7836533,90.8424759
1784708144043,-24.8131466,34.2200699,127.259041,7.30681849,55.8664398,90.8201828
1784708144086,-25.2251282,34.5069199,127.793777,7.36848974,55.7873192,90.8811874
1784708144130,-25.6459312,34.7860146,128.232468,7.47807455,55.7241669,91.0915604
1784708144173,-26.1365929,35.2229614,128.664902,7.68200922,55.6848526,91.2940979
1784708144216,-26.7233372,35.6637802,129.173492,7.80380201,55.6584892,91.4337692
1784708144260,-27.3141613,36.0568047,129.75943,7.85519028,55.6072388,91.4633942
1784708144303,-27.8938808,36.6196136,130.524902,8.01397038,55.4431,91.5741959
1784708144346,-28.3322029,37.3146133,131.189331,8.03175545,55.3294334,91.6068726
1784708144390,-28.5758133,38.1254425,131.987503,7.95608759,55.2411804,91.6592941
1784708144433,-28.6848602,38.9025955,132.743423,8.09983635,55.128849,91.8226242
1784708144476,-28.7153435,39.5931702,133.507111,8.16680622,55.0553055,91.9625626
1784708144520,-28.714613,40.2547493,134.232269,8.24579239,54.9387894,91.9794083
1784708144563,-28.6263237,40.976944,134.828018,8.25582695,54.8542023,91.9592361
1784708144606,-28.4688187,41.6955376,135.365433,8.32847786,54.8210068,91.9836426
1784708144649,-28.2337933,42.3226357,135.903351,8.30078793,54.8149796,91.9640503
1784708144692,-27.912365,42.8129959,136.250031,8.30642891,54.813736,91.9627991
1784708144736,-27.6240845,43.3034897,136.636703,8.29605579,54.8183479,91.9897537
1784708144779,-27.4515095,43.7190933,137.002396,8.34297752,54.7978058,92.0058594
1784708144822,-27.3723183,44.1549225,137.279129,8.28217316,54.781147,91.8947296
1784708144865,-27.2892418,44.4431458,137.490692,8.1008606,54.8604126,91.723259
1784708144908,-27.1808128,44.6838951,137.652405,8.01694012,54.8644524,91.6925507
